"","Ticker","Book/sh","Cash/sh","Dividend","Dividend %","Employees","Income","Index","Market Cap","Optionable","Recom","Sales","Shortable","Current Ratio","Debt/Eq","Forward P/E","LT Debt/Eq","P/B","P/C","P/E","P/FCF","P/S","PEG","Quick Ratio","SMA20","Earnings","EPS (ttm)","EPS next 5Y","EPS next Q","EPS past 5Y","EPS Q/Q","EPS this Y","Sales past 5Y","Sales Q/Q","SMA50","Gross Margin","Insider Own","Insider Trans","Inst Own","Inst Trans","Oper. Margin","Payout","Profit Margin","ROA","ROE","ROI","SMA200","52W High","52W Low","52W Range","Avg Volume","Rel Volume","RSI (14)","Short Float","Short Ratio","Shs Float","Shs Outstand","Target Price","Volume","ATR","Beta","Change","Perf Half Y","Perf Month","Perf Quarter","Perf Week","Perf Year","Perf YTD","Prev Close","Price","Volatility"
"38","AMP","44.31","32.04","3.88","2.76%","14000","1.93B","S&P 500","19.12B","Yes","1.90","12.96B","Yes","-","3.03","7.89","0.80","3.17","4.38","10.36","8.12","1.48","0.55","-","1.58%","Oct 23 AMC","13.56","18.83%","4.10","17.00%","15.00%","25.90%","2.80%","2.10%","4.59%","46.20%","0.10%","-3.65%","89.00%","0.33%","19.50%","26.70%","14.90%","1.30%","33.40%","10.70%","4.11%","-7.62%","48.58%","95.69 - 153.91","1.07M","0.46","57.65","2.11%","2.57","130.45M","136.10M","166.20","358,761","3.47","1.86","1.20%","-1.94%","-4.78%","-5.50%","4.84%","2.54%","34.61%","140.49","142.18","1.67% 2.21%"
"39","AMT","12.39","-","3.61","1.60%","5026","1.47B","S&P 500","100.82B","Yes","2.50","7.62B","Yes","0.50","3.84","52.01","3.40","18.23","-","68.29","70.87","13.23","3.15","0.50","2.30%","Oct 31 BMO","3.31","21.65%","0.93","14.90%","39.60%","3.80%","17.20%","6.10%","1.93%","71.10%","0.10%","-50.64%","95.40%","0.18%","29.30%","99.00%","19.30%","4.10%","27.40%","7.60%","14.27%","-5.35%","57.14%","145.77 - 242.00","1.70M","0.77","58.02","0.88%","2.27","441.18M","446.29M","221.53","952,333","4.20","0.44","1.39%","17.11%","1.94%","9.90%","-0.16%","55.06%","42.81%","225.91","229.06","1.45% 1.77%"
"40","AMZN","107.63","84.39","-","-","653300","11.94B","S&P 500","878.24B","Yes","1.60","252.06B","Yes","1.10","0.76","53.86","0.73","16.61","21.18","75.08","39.76","3.48","-","0.80","1.12%","Oct 24 AMC","23.81","-","4.57","102.00%","3.00%","335.70%","25.60%","19.90%","-0.93%","41.30%","11.70%","-2.63%","57.90%","0.39%","6.00%","0.00%","4.80%","7.20%","26.30%","11.90%","-1.64%","-13.37%","34.94%","1307.00 - 2035.80","3.29M","0.97","50.19","0.88%","1.12","416.70M","491.33M","2301.30","2,310,955","28.16","1.58","-1.33%","-3.99%","-1.65%","-9.01%","3.91%","-1.78%","19.01%","1787.48","1763.71","1.19% 1.64%"
"41","ANET","32.99","30.59","-","-","2300","734.80M","S&P 500","17.83B","Yes","2.30","2.36B","Yes","5.80","0.00","22.92","0.00","7.32","7.90","26.66","34.02","7.55","1.76","5.10","1.85%","Oct 31 AMC","9.06","15.13%","2.41","41.80%","-","-31.20%","42.90%","-38.70%","3.02%","63.80%","0.10%","-77.83%","61.30%","0.21%","32.80%","0.00%","30.80%","23.00%","32.30%","14.60%","-7.05%","-27.62%","28.17%","187.08 - 331.27","733.93K","0.35","55.46","3.26%","2.41","54.13M","73.82M","286.08","188,711","6.54","1.60","-0.72%","-25.32%","-2.06%","-14.58%","6.06%","3.39%","14.62%","241.51","239.78","2.38% 2.71%"
"42","ANSS","33.55","7.52","-","-","3400","436.20M","S&P 500","18.55B","Yes","2.20","1.39B","Yes","2.20","0.00","32.47","0.00","6.58","29.36","43.34","41.13","13.34","6.19","2.20","-0.93%","Nov 04 AMC","5.10","7.00%","1.26","13.70%","18.70%","54.40%","8.50%","20.50%","1.32%","89.10%","0.90%","-0.86%","98.25%","3.35%","35.70%","0.00%","31.50%","13.30%","16.40%","15.50%","13.10%","-4.92%","59.30%","136.80 - 229.20","471.56K","0.78","47.33","2.44%","4.31","83.30M","83.98M","223.85","265,760","4.90","1.39","-1.34%","18.37%","1.51%","6.14%","0.09%","38.91%","54.52%","220.87","217.92","1.84% 2.10%"
"43","ANTM","119.96","15.96","3.20","1.28%","63900","4.05B","S&P 500","63.68B","Yes","1.70","96.79B","Yes","-","0.63","10.90","0.57","2.08","15.61","16.19","28.86","0.66","0.91","-","2.73%","Oct 23 BMO","15.40","17.78%","4.84","10.20%","9.60%","38.00%","5.30%","11.00%","-2.28%","-","0.10%","-4.99%","93.20%","0.22%","6.10%","19.60%","4.20%","5.50%","13.80%","9.40%","-10.09%","-21.88%","9.35%","227.16 - 317.99","1.48M","0.77","52.32","2.20%","3.79","255.36M","255.47M","333.78","825,650","6.03","0.73","-0.34%","4.02%","-1.01%","-17.50%","5.07%","-10.48%","-5.09%","249.25","248.40","2.71% 2.22%"
"44","AON","15.94","23.51","1.76","0.91%","50000","1.45B","S&P 500","46.54B","Yes","2.70","10.87B","Yes","1.10","1.99","18.75","1.77","12.14","8.23","32.58","46.50","4.28","2.79","1.10","1.12%","Oct 25 BMO","5.94","11.70%","1.43","5.70%","500.50%","63.10%","-1.80%","1.80%","0.95%","-","0.20%","-6.36%","93.70%","0.30%","18.80%","27.80%","13.10%","5.10%","33.60%","14.00%","7.42%","-2.70%","42.83%","135.30 - 198.61","741.05K","0.97","54.41","0.75%","2.36","233.75M","240.60M","202.31","520,445","3.32","0.86","-0.11%","10.44%","-0.34%","-0.75%","2.41%","29.10%","33.08%","193.45","193.24","1.23% 1.61%"
"45","AOS","10.34","3.64","0.88","1.76%","16300","422.30M","S&P 500","7.94B","Yes","2.20","3.08B","Yes","2.20","0.21","18.78","0.20","4.84","13.74","20.14","40.74","2.58","3.15","1.70","8.08%","Oct 29 BMO","2.48","6.40%","0.53","23.00%","-8.40%","19.10%","8.20%","-8.10%","8.05%","40.40%","0.40%","-6.19%","98.70%","-0.31%","17.20%","33.50%","13.70%","13.60%","24.30%","22.90%","5.47%","-10.24%","26.08%","40.34 - 56.66","1.68M","0.64","68.11","5.87%","4.52","129.14M","158.75M","52.17","773,411","1.16","1.49","1.68%","-11.45%","2.50%","14.78%","7.94%","2.84%","17.14%","50.02","50.86","2.05% 2.22%"
"46","APA","17.38","1.46","1.00","4.52%","3420","-443.00M","S&P 500","8.34B","Yes","2.90","6.93B","Yes","1.20","1.27","34.24","1.25","1.27","15.19","-","3.23","1.20","-","1.00","-2.77%","Oct 30 AMC","-1.18","12.45%","-0.17","-29.80%","-288.50%","-78.60%","-13.00%","-17.50%","-1.10%","78.50%","0.20%","2.10%","98.10%","-1.11%","6.30%","-","-10.20%","-3.30%","-10.00%","5.70%","-21.32%","-47.38%","16.15%","19.44 - 42.91","5.73M","1.48","49.09","6.31%","4.12","374.26M","377.00M","28.63","6,155,619","1.14","1.95","2.08%","-38.33%","-13.02%","-7.95%","8.27%","-50.30%","-15.73%","22.12","22.58","4.91% 4.22%"
"47","APD","51.61","12.22","4.64","2.16%","16000","1.73B","S&P 500","47.29B","Yes","2.20","8.93B","Yes","2.30","0.34","22.78","0.29","4.15","17.54","27.47","-","5.29","2.25","2.10","-0.34%","Nov 07 BMO","7.80","12.19%","2.29","10.10%","13.50%","48.50%","-2.60%","-1.50%","-2.44%","32.30%","0.20%","4.01%","88.80%","0.19%","23.20%","57.40%","19.10%","8.90%","15.40%","11.10%","6.26%","-7.32%","45.15%","148.44 - 232.47","962.99K","0.50","46.84","1.33%","3.03","219.50M","220.60M","240.00","347,464","4.17","0.87","0.51%","8.21%","-3.27%","-4.53%","-0.14%","34.24%","33.94%","214.37","215.46","1.22% 1.73%"
"48","APH","13.92","3.35","1.00","1.01%","73600","1.24B","S&P 500","29.39B","Yes","2.00","8.33B","Yes","2.10","0.96","24.82","0.86","7.09","29.47","24.58","37.61","3.53","5.23","1.40","3.66%","Oct 23 BMO","4.01","4.70%","0.87","16.10%","-13.90%","24.70%","12.20%","1.70%","8.40%","32.20%","0.20%","-50.07%","96.80%","0.12%","20.10%","22.70%","14.50%","11.90%","29.70%","18.50%","6.75%","-5.97%","32.37%","74.95 - 105.51","1.44M","0.51","66.49","1.00%","2.07","296.00M","298.00M","102.30","531,748","1.71","1.04","0.58%","-5.67%","4.62%","2.07%","3.28%","14.29%","21.75%","98.64","99.21","1.27% 1.63%"
"49","APTV","13.69","1.42","0.88","0.99%","143000","988.00M","-","22.89B","Yes","2.20","14.32B","Yes","1.20","1.28","15.56","1.14","6.50","62.70","23.54","51.31","1.60","2.43","0.90","4.28%","Oct 30 BMO","3.78","9.69%","1.28","2.00%","-10.50%","3.50%","-0.80%","-1.50%","4.70%","18.20%","0.30%","-","99.48%","0.59%","9.00%","23.30%","6.90%","7.70%","28.10%","15.90%","11.28%","-2.41%","51.97%","58.80 - 91.57","1.13M","0.56","60.90","1.93%","4.33","254.78M","257.02M","93.68","457,577","2.17","2.04","0.36%","-1.44%","-0.53%","11.17%","7.06%","19.87%","44.62%","89.04","89.36","1.83% 2.37%"
"50","ARE","67.95","1.74","4.00","2.58%","386","379.00M","-","17.72B","Yes","2.00","1.42B","Yes","-","0.84","59.10","0.84","2.29","89.10","44.44","-","12.52","444.38","-","1.29%","Oct 28 AMC","3.50","0.10%","0.51","17.30%","-61.60%","123.10%","16.00%","-42.00%","3.10%","71.40%","1.20%","-9.69%","-","0.64%","27.70%","108.00%","26.80%","2.50%","5.20%","2.90%","9.45%","-0.10%","42.92%","109.04 - 155.99","617.68K","0.48","61.24","7.29%","13.28","112.53M","114.11M","156.09","214,292","2.07","0.72","0.34%","12.01%","1.50%","9.70%","0.77%","25.81%","34.77%","155.31","155.84","1.18% 1.31%"
"51","ARNC","10.78","3.05","0.08","0.29%","43000","501.00M","-","12.33B","Yes","2.30","14.23B","Yes","1.70","1.32","11.83","1.23","2.57","9.08","27.81","-","0.87","1.17","0.90","4.13%","Nov 05 BMO","1.00","23.80%","0.51","17.30%","-211.00%","339.00%","-9.50%","3.30%","4.66%","19.30%","10.00%","-15.99%","83.90%","-2.20%","6.80%","22.10%","3.10%","2.40%","8.50%","9.80%","20.82%","-2.90%","73.45%","15.63 - 27.92","3.20M","0.61","59.27","2.23%","3.05","437.77M","445.00M","28.67","1,405,757","0.59","1.46","-2.13%","38.22%","1.43%","10.01%","6.46%","24.83%","64.29%","27.70","27.11","1.88% 2.19%"
"52","ATO","47.78","0.39","2.10","1.88%","4628","498.10M","S&P 500","13.16B","Yes","2.20","2.90B","Yes","0.60","0.66","24.21","0.63","2.34","284.83","26.31","-","4.53","3.76","0.40","-0.54%","Nov 06 AMC","4.25","7.00%","0.46","9.80%","6.50%","10.90%","-4.30%","-13.60%","0.87%","69.40%","0.50%","0.00%","86.00%","0.58%","30.80%","40.30%","21.00%","4.90%","11.50%","6.60%","7.74%","-2.94%","27.22%","87.88 - 115.19","702.00K","0.65","50.31","3.18%","5.28","116.50M","117.66M","115.43","329,276","1.42","0.18","-0.04%","12.76%","0.04%","4.26%","0.89%","17.81%","20.62%","111.84","111.80","1.48% 1.20%"
"53","ATVI","15.64","6.10","0.37","0.67%","9900","1.40B","S&P 500","42.58B","Yes","2.10","7.11B","Yes","3.50","0.22","21.87","0.22","3.55","9.12","30.58","24.46","5.99","4.89","3.40","1.04%","Nov 07 AMC","1.82","6.25%","0.23","15.50%","-18.40%","67.00%","10.40%","-14.90%","4.57%","67.10%","0.60%","-4.71%","91.30%","0.36%","25.70%","15.40%","23.70%","9.60%","14.80%","11.40%","15.39%","-26.49%","37.58%","39.85 - 74.58","7.43M","1.03","55.53","2.97%","3.03","756.48M","766.00M","57.03","5,538,568","1.45","0.87","-1.38%","22.69%","0.85%","23.15%","3.54%","-29.39%","19.37%","55.59","54.83","2.06% 2.62%"
"54","AVB","77.28","1.74","6.08","2.78%","3087","914.30M","S&P 500","30.68B","Yes","2.40","2.30B","Yes","-","0.69","43.33","0.69","2.83","125.94","33.24","63.01","13.35","13.09","-","2.01%","Oct 28 AMC","6.59","2.54%","1.20","73.00%","-34.60%","10.90%","9.30%","1.40%","3.98%","66.60%","0.20%","-5.94%","95.70%","0.13%","26.10%","89.60%","39.80%","4.90%","8.60%","3.30%","8.93%","0.13%","31.97%","167.01 - 220.12","629.47K","0.58","66.44","2.11%","4.67","139.29M","140.04M","220.10","264,848","2.81","0.48","0.60%","11.69%","3.68%","5.92%","0.18%","24.38%","25.87%","219.08","220.40","1.09% 1.24%"
"55","AVGO","54.03","14.09","10.60","3.66%","15000","3.03B","S&P 500","112.17B","Yes","2.10","22.27B","Yes","1.30","1.75","12.52","1.58","5.36","20.54","40.28","20.37","5.04","2.51","1.20","2.65%","Sep 12 AMC","7.19","16.05%","5.36","39.60%","-37.00%","187.60%","52.60%","8.90%","1.76%","55.40%","0.10%","0.00%","87.80%","0.14%","17.70%","130.80%","13.40%","4.60%","12.80%","13.20%","1.45%","-11.38%","37.55%","208.23 - 323.20","2.18M","0.60","54.14","1.50%","2.64","385.66M","387.55M","320.68","947,784","6.38","0.90","-1.04%","-9.16%","0.59%","-0.20%","5.46%","21.45%","13.82%","289.43","286.42","1.64% 2.06%"
"56","AVY","12.60","2.93","2.32","2.01%","30000","245.30M","S&P 500","9.72B","Yes","2.30","7.06B","Yes","1.00","1.94","16.37","1.41","9.15","39.32","41.61","124.99","1.38","3.96","0.70","4.31%","Oct 22 BMO","2.77","10.52%","1.61","17.10%","52.70%","5.50%","3.10%","-3.20%","3.49%","26.60%","0.50%","-21.07%","92.20%","0.20%","3.70%","76.50%","3.40%","4.60%","24.00%","19.80%","7.02%","-3.05%","41.11%","82.89 - 120.65","466.43K","0.79","63.01","1.62%","2.90","83.74M","84.30M","122.89","267,934","2.20","1.31","1.40%","1.75%","0.81%","1.31%","3.64%","14.97%","28.41%","115.35","116.97","1.40% 1.74%"
"57","AWK","33.30","0.35","2.00","1.63%","7100","594.00M","S&P 500","22.36B","Yes","2.30","3.52B","Yes","0.60","1.50","31.35","1.43","3.68","349.36","37.26","-","6.35","4.54","0.50","-0.70%","Oct 30 AMC","3.29","8.20%","1.30","9.20%","3.80%","4.50%","3.60%","3.40%","-0.66%","56.80%","0.20%","-20.00%","90.10%","0.04%","31.80%","57.90%","16.50%","2.70%","9.80%","6.10%","10.78%","-5.45%","42.99%","85.89 - 129.89","980.33K","0.52","47.98","2.21%","4.06","179.91M","182.64M","123.09","367,338","1.73","0.07","0.32%","16.92%","0.74%","6.47%","-2.10%","35.95%","34.87%","122.42","122.82","1.53% 1.37%"
"58","AXP","27.69","5.64","1.72","1.44%","59000","6.35B","DJIA S&P500","99.33B","Yes","2.40","43.34B","Yes","-","5.77","13.26","2.50","4.30","21.13","15.90","8.05","2.29","1.58","-","1.12%","Oct 18 BMO","7.49","10.05%","2.03","8.50%","12.20%","23.70%","4.50%","9.10%","-1.09%","68.60%","0.10%","-28.58%","86.30%","0.31%","18.70%","18.80%","15.80%","3.50%","30.70%","4.20%","2.02%","-9.05%","32.09%","89.05 - 129.34","3.50M","1.81","51.09","0.81%","1.92","827.97M","834.00M","131.96","4,592,199","1.91","1.05","-1.23%","4.78%","0.30%","-4.58%","3.55%","14.22%","24.95%","119.10","117.63","1.06% 1.53%"
"59","AZO","-64.00","7.01","-","-","54900","1.51B","S&P 500","27.45B","Yes","2.30","11.86B","Yes","0.90","-","15.53","-","-","157.65","18.69","12.69","2.31","1.82","0.10","2.38%","Sep 24 BMO","59.13","10.25%","13.82","8.50%","-11.30%","-5.10%","4.20%","4.60%","1.16%","53.70%","0.20%","-40.21%","96.90%","0.18%","17.10%","0.00%","11.90%","14.70%","-88.80%","37.30%","8.06%","-6.23%","57.32%","707.29 - 1186.60","250.87K","0.41","57.93","3.16%","3.07","24.34M","24.84M","1176.59","74,046","21.23","0.61","0.69%","5.75%","-4.94%","-5.73%","2.59%","42.87%","31.82%","1105.11","1112.69","1.49% 1.91%"
"60","BA","-9.42","17.01","8.22","2.23%","153000","4.99B","DJIA S&P500","208.41B","Yes","2.30","97.77B","Yes","1.00","-","16.43","-","-","21.70","43.23","58.48","2.13","4.27","0.30","-6.52%","Oct 23 BMO","8.54","10.12%","2.20","24.50%","-239.70%","51.70%","3.10%","-11.90%","-3.37%","18.60%","0.07%","0.00%","68.90%","0.27%","5.50%","86.70%","5.10%","4.20%","-324.60%","76.40%","-4.79%","-21.17%","20.21%","292.47 - 446.01","4.16M","2.26","34.80","1.04%","1.40","562.29M","564.70M","411.86","6,808,408","6.83","1.27","-4.74%","-2.90%","-4.49%","-2.20%","-0.52%","0.22%","14.44%","369.06","351.57","1.56% 1.72%"
"61","BAC","25.91","76.14","0.72","2.38%","209000","27.72B","S&P 500","288.17B","Yes","2.30","71.20B","Yes","-","0.00","10.20","0.96","1.17","0.40","10.77","42.45","4.05","1.29","-","5.34%","Oct 16 BMO","2.81","8.35%","0.50","23.60%","18.60%","49.90%","3.90%","11.30%","7.42%","-","0.10%","-1.30%","71.60%","0.44%","63.60%","21.20%","38.90%","1.20%","11.40%","5.30%","6.26%","-2.35%","34.32%","22.66 - 31.17","57.63M","0.74","67.06","0.94%","1.52","9.30B","9.52B","32.78","30,964,842","0.68","1.61","0.59%","0.77%","0.87%","2.93%","6.36%","6.06%","22.81%","30.26","30.44","2.15% 2.00%"
"62","BAX","15.32","5.74","0.88","1.00%","50000","1.39B","S&P 500","44.80B","Yes","2.10","11.08B","Yes","2.80","0.66","23.28","0.66","5.73","15.31","33.62","61.21","4.04","3.13","2.10","1.44%","Oct 24 BMO","2.61","10.73%","0.84","35.30%","5.40%","10.50%","3.40%","-0.10%","1.23%","42.70%","0.10%","-90.78%","87.90%","0.52%","13.60%","26.10%","14.30%","9.50%","19.50%","12.00%","10.93%","-2.21%","44.05%","61.05 - 89.93","2.37M","0.46","54.34","1.27%","2.73","509.93M","510.00M","92.60","789,692","1.50","1.00","0.10%","18.19%","0.47%","5.72%","0.27%","22.42%","33.47%","87.85","87.94","1.36% 1.60%"
"63","BBT","37.40","3.51","1.80","3.43%","35852","3.11B","S&P 500","40.17B","Yes","2.30","8.58B","Yes","-","0.73","11.85","0.73","1.40","14.95","13.11","21.48","4.68","1.31","-","1.61%","Oct 17 BMO","4.00","10.01%","1.03","12.10%","10.20%","44.40%","4.50%","10.60%","6.14%","-","0.10%","-4.85%","73.30%","0.33%","71.90%","39.60%","36.50%","1.40%","11.40%","9.80%","7.41%","-1.73%","30.20%","40.68 - 53.90","4.75M","0.74","61.55","5.55%","8.89","760.91M","765.96M","55.18","2,555,630","0.99","1.18","1.00%","6.26%","-1.26%","3.53%","2.16%","11.36%","21.05%","52.44","52.97","1.69% 1.65%"
"64","BBY","12.30","6.36","2.00","2.86%","125000","1.54B","S&P 500","17.68B","Yes","2.60","43.07B","Yes","1.10","0.38","11.64","0.38","5.68","10.99","12.45","30.22","0.41","1.74","0.40","4.83%","Aug 29 BMO","5.61","7.15%","1.03","21.50%","2.70%","26.60%","1.10%","1.70%","5.19%","23.40%","1.10%","-46.00%","81.80%","0.51%","4.50%","32.90%","3.50%","10.60%","46.80%","31.90%","4.82%","-10.02%","48.07%","47.72 - 78.53","2.63M","0.75","60.18","2.59%","2.22","225.39M","252.96M","75.89","1,428,943","1.73","1.15","1.12%","-5.11%","4.07%","-6.46%","4.72%","-6.59%","31.95%","69.88","70.66","2.15% 2.25%"
"65","BDX","79.54","1.98","3.08","1.20%","76032","1.10B","S&P 500","69.40B","Yes","1.90","17.11B","Yes","1.10","0.94","19.81","0.84","3.23","129.72","64.14","85.89","4.06","6.41","0.70","2.92%","Nov 05 BMO","4.00","10.00%","3.31","-8.30%","-39.10%","-34.50%","14.70%","1.70%","2.20%","47.40%","0.10%","-24.64%","88.90%","0.29%","13.00%","105.30%","4.60%","1.50%","3.70%","3.00%","5.47%","-2.36%","23.90%","208.62 - 264.74","992.92K","0.58","58.42","1.74%","4.71","269.23M","270.25M","267.38","414,289","4.46","1.10","0.65%","12.69%","-0.28%","2.38%","3.32%","5.12%","13.97%","256.80","258.48","1.35% 1.70%"
"66","BEN","19.76","11.77","1.04","3.83%","9800","1.29B","S&P 500","13.27B","Yes","3.60","5.85B","Yes","-","0.07","10.45","0.07","1.37","2.31","10.72","92.57","2.27","-","-","-1.06%","Oct 25 BMO","2.53","-3.63%","0.65","-1.10%","-33.60%","5.90%","-4.60%","-5.30%","-1.29%","-","0.10%","-3.15%","53.10%","0.64%","28.10%","36.20%","23.60%","9.70%","14.00%","15.20%","-13.76%","-23.60%","7.02%","25.57 - 35.82","3.25M","0.73","48.32","9.71%","8.21","274.61M","489.10M","26.93","1,734,809","0.67","1.25","0.83%","-23.12%","-7.81%","-23.57%","2.30%","-8.31%","-8.50%","27.14","27.36","2.29% 2.16%"
"67","BF-B","3.48","0.66","0.66","1.04%","4700","735.00M","S&P 500","29.74B","Yes","3.10","3.32B","No","3.30","1.50","32.90","1.36","18.31","96.88","41.70","94.12","8.95","5.94","1.40","1.34%","Aug 28 BMO","1.53","7.02%","0.52","3.90%","12.00%","-5.40%","2.10%","0.00%","4.15%","64.40%","1.00%","-","51.10%","1.10%","33.90%","38.20%","24.70%","15.80%","52.10%","20.00%","17.51%","-3.33%","42.79%","44.57 - 65.83","1.50M","0.40","60.55","4.14%","9.34","338.95M","466.74M","57.71","437,316","0.96","0.65","-0.13%","20.57%","-1.30%","14.48%","1.77%","32.06%","33.92%","63.72","63.64","1.36% 1.47%"
"68","BHGE","67.31","3.12","0.72","3.26%","67000","60.00M","S&P 500","22.23B","Yes","1.90","23.54B","Yes","1.60","0.21","15.43","0.18","0.33","7.08","172.50","105.85","0.94","4.47","1.10","-2.77%","Oct 30 BMO","0.13","38.62%","0.24","-39.20%","61.90%","142.70%","0.50%","8.00%","-2.13%","18.10%","0.20%","-98.50%","79.90%","0.18%","4.70%","199.50%","0.70%","0.30%","0.50%","0.80%","-8.55%","-29.37%","9.91%","20.09 - 31.26","7.07M","0.59","46.96","3.42%","2.44","504.76M","1.01B","29.16","0","0.71","1.02","0.00%","-13.75%","-4.95%","-6.28%","1.28%","-28.40%","2.70%","22.08","22.08","2.37% 2.84%"
"69","BIIB","68.07","16.02","-","-","7800","5.32B","S&P 500","41.57B","Yes","2.90","14.07B","Yes","2.50","0.00","7.00","0.46","3.31","14.08","8.36","6.19","2.95","1.83","2.20","-3.13%","Oct 22 BMO","27.00","4.56%","8.24","22.70%","87.70%","24.50%","14.20%","7.80%","-3.50%","85.60%","0.10%","199.25%","91.70%","0.30%","46.90%","0.00%","37.60%","20.50%","39.50%","23.60%","-13.81%","-35.77%","2.39%","215.77 - 344.00","1.50M","1.10","38.85","1.94%","2.37","183.64M","184.27M","257.46","1,196,895","5.28","1.03","-2.07%","-0.35%","-4.07%","-2.45%","1.17%","-33.37%","-25.03%","225.60","220.94","2.15% 2.29%"
"70","BK","39.94","169.32","1.24","2.79%","49100","3.66B","S&P 500","42.22B","Yes","3.00","7.38B","Yes","-","0.79","10.71","0.79","1.11","0.26","11.86","-","5.72","4.19","-","3.24%","Oct 16 BMO","3.74","2.83%","0.99","17.80%","-2.10%","29.50%","13.90%","26.50%","4.18%","-","0.10%","-50.07%","87.10%","0.19%","46.40%","29.00%","51.00%","1.00%","10.00%","3.90%","-3.40%","-15.72%","12.88%","40.52 - 54.27","5.17M","1.00","61.60","1.05%","1.91","940.31M","951.28M","46.92","3,740,600","0.99","1.12","3.06%","-8.32%","-5.57%","-1.97%","2.02%","-10.07%","-5.71%","44.38","45.74","1.99% 2.07%"
"71","BKNG","122.70","157.43","-","-","24500","4.11B","S&P 500","87.74B","Yes","2.50","14.75B","Yes","1.60","1.63","17.50","1.45","16.53","12.89","22.74","19.16","5.95","1.77","1.60","1.93%","Nov 06 AMC","89.20","12.87%","44.51","17.90%","14.00%","10.40%","16.40%","8.80%","2.23%","-","0.20%","-","96.70%","0.22%","35.20%","0.00%","28.20%","18.30%","53.70%","25.50%","9.15%","-3.04%","25.67%","1606.27 - 2081.81","306.93K","0.90","56.83","2.83%","3.90","42.26M","43.25M","2085.00","199,118","33.20","1.12","-0.49%","9.99%","-1.45%","7.78%","3.34%","10.83%","17.77%","2028.53","2018.60","1.37% 1.57%"
"72","BLK","205.29","26.87","13.20","2.93%","16000","4.20B","S&P 500","67.47B","Yes","1.90","13.88B","Yes","-","0.19","14.89","0.19","2.20","16.77","17.13","399.26","4.86","2.80","-","3.07%","Oct 15 BMO","26.30","6.11%","6.97","9.50%","-3.10%","15.70%","6.90%","-2.20%","4.64%","81.20%","1.20%","-1.87%","85.60%","0.14%","37.10%","48.50%","30.30%","2.50%","13.10%","11.70%","2.15%","-8.02%","24.27%","360.79 - 487.45","608.32K","0.66","61.17","1.02%","2.49","148.71M","149.72M","502.57","289,366","8.81","1.56","-0.51%","-3.23%","1.69%","-4.77%","7.21%","10.46%","14.73%","450.67","448.37","1.70% 1.86%"
"73","BLL","10.40","2.29","0.60","0.81%","17500","579.00M","S&P 500","24.60B","Yes","2.30","11.55B","Yes","1.10","2.11","24.32","2.00","7.10","32.20","44.00","41.84","2.13","2.88","0.80","1.54%","Oct 31 BMO","1.68","15.26%","0.73","1.20%","72.00%","12.90%","6.60%","-2.70%","-2.01%","19.50%","0.50%","-11.76%","85.60%","0.08%","8.60%","28.80%","4.50%","3.10%","14.90%","7.90%","15.32%","-9.66%","75.12%","42.24 - 81.88","2.19M","0.82","51.07","2.42%","3.64","329.27M","333.05M","76.17","1,302,814","1.68","0.73","0.14%","26.25%","-0.86%","4.48%","1.41%","60.24%","60.66%","73.87","73.97","2.19% 2.08%"
"74","BMY","9.81","17.94","1.64","3.13%","23300","6.23B","S&P 500","85.76B","Yes","2.20","23.86B","Yes","3.90","1.56","8.39","1.52","5.34","2.92","13.77","23.65","3.59","2.81","3.70","4.33%","Oct 31 BMO","3.81","4.90%","1.06","14.50%","286.80%","28.70%","6.60%","10.00%","7.70%","71.10%","0.11%","0.73%","83.40%","0.28%","30.70%","42.70%","26.00%","15.60%","42.10%","25.40%","10.29%","-8.07%","24.49%","42.48 - 57.53","11.33M","0.75","70.36","9.15%","13.20","1.63B","1.64B","58.88","6,190,610","0.92","0.66","0.89%","15.16%","5.13%","20.98%","3.23%","-9.36%","0.85%","52.42","52.88","1.34% 1.76%"
